##############################################################################
                            PAGE RANK ALGORITHM                               
##############################################################################

This program computes the Page Rank of a network of airports and flights
Page Rank algorithm uses the following parameters:
	 - MAX_ITERATIONS = 100
	 - DAMPING_FACTOR = 0.85
	 - EPSILON = 1e-05

##############################################################################

Reading Airport file from airports.txt
There were 5740 airports with a valid IATA code
There were 1923 airports with an invalid IATA code

Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

##############################################################################

Results:
Rank	IATA	PageRank	Name
 220	MLA 	0.00053353	Luqa, Malta
 221	BNA 	0.00052476	Nashville Intl, United States
 222	UIO 	0.00052222	Mariscal Sucre Intl, Ecuador
 223	ALA 	0.00051782	Almaty, Kazakhstan
 224	NNG 	0.00051760	Wuxu, China
 225	NGO 	0.00051691	Chubu Centrair Intl, Japan
 226	EMA 	0.00051688	Nottingham East Midlands, United Kingdom
 227	FAO 	0.00051640	Faro, Portugal
 228	ACE 	0.00051540	Lanzarote, Spain
 229	LOS 	0.00051346	Murtala Muhammed, Nigeria
 230	CHC 	0.00051236	Christchurch Intl, New Zealand
 231	SFB 	0.00051190	Orlando Sanford Intl, United States
 232	TYN 	0.00050546	Wusu, China
 233	HOU 	0.00050429	William P Hobby, United States
 234	TUN 	0.00050094	Carthage, Tunisia
 235	HET 	0.00050020	Baita Airport, China
 236	BGO 	0.00049722	Flesland, Norway
 237	FOC 	0.00049593	Changle, China
 238	NCL 	0.00049350	Newcastle, United Kingdom
 239	YWG 	0.00049236	Winnipeg Intl, Canada
 240	LCA 	0.00049091	Larnaca, Cyprus
 241	KTN 	0.00048935	Ketchikan Intl, United States
 242	BUD 	0.00048822	Ferihegy, Hungary
 243	CFU 	0.00048719	Ioannis Kapodistrias Intl, Greece
 244	CGB 	0.00048531	Marechal Rondon, Brazil
 245	YFB 	0.00048483	Iqaluit, Canada
 246	DMM 	0.00048154	King Fahd Intl, Saudi Arabia
 247	DAC 	0.00047997	Zia Intl, Bangladesh
 248	AER 	0.00047729	Sochi, Russia
 249	KEF 	0.00047607	Keflavik International Airport, Iceland
 250	RGN 	0.00047394	Yangon Intl, Burma
 251	CTA 	0.00047284	Catania Fontanarossa, Italy
 252	OAK 	0.00047238	Metropolitan Oakland Intl, United States
 253	ACC 	0.00046716	Kotoka Intl, Ghana
 254	BSL 	0.00046703	EuroAirport Basel-Mulhouse-Freiburg, Switzerland
 255	BAH 	0.00046682	Bahrain Intl, Bahrain
 256	AUS 	0.00046251	Austin Bergstrom Intl, United States
 257	SKG 	0.00046201	Makedonia, Greece
 258	BEL 	0.00045898	Val De Cans Intl, Brazil
 259	YRT 	0.00045706	Rankin Inlet, Canada
 260	PUS 	0.00045501	Gimhae Intl, South Korea
 261	CPT 	0.00044874	Cape Town Intl, South Africa
 262	YOW 	0.00044283	Ottawa Macdonald Cartier Intl, Canada
 263	MTY 	0.00044202	General Mariano Escobedo Intl, Mexico
 264	KRT 	0.00043932	Khartoum, Sudan
 265	TLS 	0.00043697	Blagnac, France
 266	RDU 	0.00043497	Raleigh Durham Intl, United States
 267	BKI 	0.00043434	Kota Kinabalu Intl, Malaysia
 268	PSA 	0.00043387	Pisa, Italy
 269	CRL 	0.00043352	Brussels South, Belgium
 270	ABV 	0.00043281	Nnamdi Azikiwe Intl, Nigeria
 271	GRO 	0.00042992	Girona, Spain
 272	MEM 	0.00042844	Memphis Intl, United States
 273	SYZ 	0.00042788	Shiraz Shahid Dastghaib Intl, Iran
 274	ANI 	0.00042669	Aniak Airport, United States
 275	SAL 	0.00042664	El Salvador Intl, El Salvador
 276	MAH 	0.00042650	Menorca, Spain
 277	MES 	0.00042649	Polonia, Indonesia
 278	SAT 	0.00042523	San Antonio Intl, United States
 279	HAK 	0.00042318	Meilan, China
 280	BEY 	0.00042220	Rafic Hariri Intl, Lebanon
 281	OGG 	0.00042135	Kahului, United States
 282	ESB 	0.00041920	Esenboga, Turkey
 283	SYX 	0.00041713	Phoenix International, China
 284	KHN 	0.00041474	Changbei Intl, China
 285	BPN 	0.00041435	Sepinggan, Indonesia
 286	REC 	0.00041379	Guararapes Gilberto Freyre Intl, Brazil
 287	KWL 	0.00041350	Liangjiang, China
 288	TNR 	0.00041327	Ivato, Madagascar
 289	CJU 	0.00041276	Jeju Intl, South Korea
 290	LPB 	0.00041150	El Alto Intl, Bolivia
 291	TSE 	0.00041134	Astana Intl, Kazakhstan
 292	GYE 	0.00041125	Jose Joaquin De Olmedo Intl, Ecuador
 293	HKT 	0.00041092	Phuket Intl, Thailand
 294	VLC 	0.00041067	Valencia, Spain
 295	MSY 	0.00040809	Louis Armstrong New Orleans Intl, United States
 296	HAJ 	0.00040766	Hannover, Germany
 297	LCY 	0.00040652	City, United Kingdom
 298	BLQ 	0.00040593	Bologna, Italy
 299	SPU 	0.00040468	Split, Croatia
 300	OKA 	0.00040420	Naha, Japan
 301	DKR 	0.00040260	Leopold Sedar Senghor Intl, Senegal
 302	TIP 	0.00040251	Tripoli Intl, Libya
 303	YZV 	0.00040039	Sept Iles, Canada
 304	SJC 	0.00040026	Norman Y Mineta San Jose Intl, United States
 305	SXF 	0.00039973	Schonefeld, Germany
 306	TAH 	0.00039941	Tanna island, Vanuatu
 307	FUE 	0.00039793	Fuerteventura, Spain
 308	BEG 	0.00039674	Beograd, Serbia
 309	KGS 	0.00039555	Kos, Greece
 310	SDU 	0.00039536	Santos Dumont, Brazil
 311	WIL 	0.00039419	Nairobi Wilson, Kenya
 312	MDL 	0.00039343	Mandalay Intl, Burma
 313	CVG 	0.00039296	Cincinnati Northern Kentucky Intl, United States
 314	NAP 	0.00039211	Capodichino, Italy
 315	DBV 	0.00039076	Dubrovnik, Croatia
 316	SZB 	0.00039016	Subang-Sultan Abdul Aziz Shah Intl, Malaysia
 317	MFM 	0.00039003	Macau Intl, Macau
 318	LHW 	0.00038952	Lanzhou Airport, China
 319	LBA 	0.00038850	Leeds Bradford, United Kingdom
 320	NTE 	0.00038815	Nantes Atlantique, France
 321	ISB 	0.00038795	Chaklala, Pakistan
 322	OLB 	0.00038751	Olbia Costa Smeralda, Italy
 323	GYD 	0.00038604	Heydar Aliyev, Azerbaijan
 324	YQB 	0.00038600	Quebec Jean Lesage Intl, Canada
 325	MKE 	0.00038468	General Mitchell Intl, United States
 326	MYY 	0.00038290	Miri, Malaysia
 327	PIT 	0.00038134	Pittsburgh Intl, United States
 328	YWK 	0.00038075	Wabush, Canada
 329	ITM 	0.00038069	Osaka Intl, Japan
 330	PUJ 	0.00037854	Punta Cana Intl, Dominican Republic
 331	SXM 	0.00037806	Princess Juliana Intl, Netherlands Antilles
 332	SMF 	0.00037509	Sacramento Intl, United States
 333	YHZ 	0.00037293	Halifax Intl, Canada
 334	RKV 	0.00037112	Reykjavik, Iceland
 335	LUN 	0.00036499	Lusaka Intl, Zambia
 336	BIO 	0.00036494	Bilbao, Spain
 337	AKN 	0.00036491	King Salmon, United States
 338	ULN 	0.00036467	Chinggis Khaan Intl, Mongolia
 339	ADB 	0.00036258	Adnan Menderes, Turkey
 340	ABJ 	0.00036031	Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire
 341	LUX 	0.00035898	Luxembourg, Luxembourg
 342	WNZ 	0.00035892	Wenzhou Yongqiang Airport, China
